Food,Quantity,Unit,Ingredients
Chicken Chow Mein,0.5,Pound,Noodles
Chicken Chow Mein,1,Tablespoon,Vegetable Oil
Chicken Chow Mein,2,Tablespoon,Onion
Beef Lo Mein,8,Ounce,Spaghetti
Beef Lo Mein,1,Tablespoon,Sesame Oil
Beef Lo Mein,2,Clove,Garlic
Beef Lo Mein,1,Cups,Mixed Veggies
Beef Lo Mein,2,Tablespoon,Soy Sauce
Beef Lo Mein,2,Tablespoon,Sugar
Beef Lo Mein,1,Tablespoon,Asian Chile Paste
Fried Dumpling,2,Cups,All Purpose Flour
Fried Dumpling,1,Tablespoon,Baking Powder
Fried Dumpling,1,Tablespoon,Salt
Fried Dumpling,0.5,Cups,Butter
Fried Dumpling,3,Tablespoon,Vegetable Oil
Falafel,1,Ounce,Chickpeas
Falafel,1,Piece,Onion
Falafel,2,Cups,Flour
Falafel,1,Tablespoon,Salt
Falafel,1,Tablespoon,Cumin
Falafel,1,Tablespoon,Caradamom
Falafel,1,Tablespoon,Pepper
Falafel,2,Tablespoon,Vegetable Oil
Fattet Hummus,0.75,Cups,Chickpeas
Fattet Hummus,1,Cups,Yogurt
Fattet Hummus,2,Tablespoon,Tahini
Fattet Hummus,1,Tablespoon,Cumin
Fattet Hummus,1,Tablespoon,Salt
Fattet Hummus,3,Cups,Oil
Fattet Hummus,2,Cups,Pine Nuts
Spanakopita,3,Piece,Spinach
Spanakopita,2,Piece,Onion
Spanakopita,2,Clove,Garlic
Spanakopita,1,Cups,Oil
Spanakopita,3,Piece,Eggs
Spanakopita,1,Tablespoon,Pepper
Sushi,1,Cups,Sushi Rice
Sushi,1,Tablespoon,Rice Vinegar
Sushi,1,Tablespoon,Sugar
Sushi,1,Tablespoon,Salt
Sushi,2,Cups,Sesame Seeds
Sushi,4,Piece,Bamboo Sushi Mat
Sushi,0.5,Ounce,Crabmeat
Sashimi,1,Pound,Tuna
Sashimi,2,Tablespoon,Olive Oil
Sashimi,1,Tablespoon,Soy Sauce
Sashimi,2,Tablespoon,Sesame Seeds
Sashimi,0.5,Tablespoon,Chives
Tempura,1,Cups,All Purpose Flour
Tempura,1,Piece,Eggs
Tempura,1,Piece,Sweet Potato
Tempura,2,Piece,Mushroom
Tempura,3,Tablespoon,Soy Sauce
Tempura,2,Tablespoon,Mirin
Tempura,2,Tablespoon,Sugar
Tonkatsu,0.5,Piece,Cabbage
Tonkatsu,1,Tablespoon,Salt
Tonkatsu,1,Tablespoon,Pepper
Tonkatsu,3,Piece,Pork Chops
Tonkatsu,2,Cups,All Purpose Flour
Tonkatsu,1,Piece,Eggs
Tonkatsu,1,Tablespoon,Vegetable Oil
Tom Yum Goong,1,Pound,Shrimp
Tom Yum Goong,2,Cups,Lemongrass
Tom Yum Goong,0.5,Cups,Mushroom
Tom Yum Goong,2,Tablespoon,Red Chilli Paste
Tom Yum Goong,1,Tablespoon,Fish Sauce
Tom Yum Goong,0.5,Cups,Onion
Tom Yum Goong,1,Tablespoon,Lime Juice
Tom Yum Goong,4,Slice,Lime Juice
Khao Soi,2,Tablespoon,Oil
Khao Soi,3,Clove,Garlic
Khao Soi,1,Tablespoon,Curry Powder
Khao Soi,4,Cups,Coconut Milk
Khao Soi,1,Tablespoon,Salt
Khao Soi,2,Cups,Chicken
Khao Soi,2,Tablespoon,Fish Sauce
Khao Soi,1,Tablespoon,Lime Juice
Khao Soi,8,Ounce,Noodles
Khao Soi,1,Cups,Cabbage
Pad See ew,8,Ounce,Noodles
Pad See ew,2,Piece,Boneless Chicken Breast
Pad See ew,3,Tablespoon,Soy Sauce
Pad See ew,2,Tablespoon,Fish Sauce
Pad See ew,2,Tablespoon,Oyster Sauce
Pad See ew,1,Tablespoon,Sugar
Pad See ew,1,Piece,Egg
Pad See ew,3,Clove,Garlic
Butter Chicken,1,Tablespoon,Oil
Butter Chicken,0.25,Piece,Onion
Butter Chicken,2,Tablespoon,Butter
Butter Chicken,2,Tablespoon,Lime Juice
Butter Chicken,1,Tablespoon,Ginger Garlic Paste
Butter Chicken,1,Tablespoon,Chili Powder
Butter Chicken,1,Cups,Tomato Sauce
Butter Chicken,1,Tablespoon,Salt
Butter Chicken,1,Tablespoon,Pepper
Butter Chicken,1,Pound,Boneless Chicken Breast
Butter Chicken,1,Tablespoon,Garam Masala
Tandoori Chicken,2,Pound,Chicken
Tandoori Chicken,1,Tablespoon,Salt
Tandoori Chicken,1,Piece,Lemon
Tandoori Chicken,0.5,Piece,Onion
Tandoori Chicken,1,Clove,Garlic
Tandoori Chicken,2,Tablespoon,Garam Masala
Tandoori Chicken,1,Tablespoon,Chili Powder
Tandoori Chicken,2,Tablespoon,Cilantro
Tandoori Chicken,1,Slice,Lime Juice
Alu Gobi,3,Tablespoon,Vegetable Oil
Alu Gobi,1,Piece,Onion
Alu Gobi,1,Tablespoon,Ginger Garlic Paste
Alu Gobi,2,Tablespoon,Cilantro
Alu Gobi,0.25,Tablespoon,Tumeric Powder
Alu Gobi,0.5,Tablespoon,Garam Masala
Alu Gobi,2,Piece,Potato
Alu Gobi,1,Tablespoon,Salt
Alu Gobi,0.5,Piece,Cauliflower
Alu Gobi,2,Tablespoon,Lime Juice
